"Nr_Arrest","naam","Trefwoorden"
"1415/0425","Patrick","RSP is geen beoordelingsgrond"
"1415/0428","Patrick","Verworpen (samenhang met 1415/0422; 1415/0424; 1415/0425; 1415/0421; 1415/0429)Artikel 17 PB "
"1415/0428","Patrick","Registratie doet niet af aan beoordeling ontvankelijkheid (Navigator) "
"1415/0428","Patrick","CBS"
"1415/0428","Patrick"," Artikel 4.8.11, §1, eerste lid, 2° VCRO "
"1415/0428","Patrick","Hoedanigheid CBS "
"1415/0428","Patrick","Beslissing om in rechte te treden niet conform meerderheidsvereisten Gemeentedecreet (Navigator) "
"1415/0428","Patrick","Exceptie TSP "
"1415/0428","Patrick","VWP toont niet aan rechtsgeldige beslissing genomen te hebben om in rechte te treden (Navigator)"
"1415/0429","Patrick","Verworpen (samenhang met 1415/0422; 1415/0424; 1415/0425; 1415/0428; 1415/0421)Artikel 17 PB "
"1415/0429","Patrick","Registratie doet niet af aan beoordeling ontvankelijkheid (Navigator) "
"1415/0429","Patrick","CBS"
"1415/0429","Patrick"," Artikel 4.8.11, §1, eerste lid, 2° VCRO "
"1415/0429","Patrick","Hoedanigheid CBS "
"1415/0429","Patrick","Beslissing om in rechte te treden niet conform meerderheidsvereisten Gemeentedecreet (Navigator) "
"1415/0429","Patrick","Exceptie TSP "
"1415/0429","Patrick","VWP toont niet aan rechtsgeldige beslissing genomen te hebben om in rechte te treden (Navigator)"
"1617/0620","Patrick","VernietigingArtikelen 4.4.10 en 4.4.13 VCRO "
"1617/0620","Patrick","Herbouwen op eenzelfde plaats "
"1617/0620","Patrick","Regularisatie niet mogelijk "
"1617/0620","Patrick","Artikelen 4.4.10, 4.4.20 en 4.4.13 VCRO "
"1617/0620","Patrick","Regularisatie van herbouw "
"1617/0620","Patrick","Toetsing voorwaarden herbouw niet-bestaande woning (artikel 4.4.20, § 1 VCRO) niet gebeurd "
"1617/0620","Patrick","Toepassing artikel 4.2.24 VCRO kan niet tot een andere conclusie leiden (Navigator)Artikel 21, §7 DBRC-decreet "
"1617/0620","Patrick","TSK kan niet gehouden worden tot RPV"
"1617/0467","Sacha","VernietigingHerstelbeslissing (stedenbouwkundige vergunning)"
"1617/0467","Sacha"," Artikel 4.3.1, § 2, eerste lid VCRO "
"1617/0467","Sacha","Verzwaarde motiveringsplicht (M.i. ok: “Dit is des te meer het geval wanneer zoals in casu het verslag van de provinciale stedenbouwkundige ambtenaar bij het hernemen van het dossier nogmaals andersluidende motieven of vaststellingen bevat”) "
"1617/0467","Sacha","Andersluidende relevante motivering PSA-verslag ontmoeten "
"1617/0467","Sacha","(Herhaling van motivering besloten in) Gezag van gewijsde "
"1617/0467","Sacha","Bouwtypologie, bouwdiepte en parkeerplaatsen "
"1617/0467","Sacha","Niet afdoende gemotiveerd"
"1617/0740","Lore","Vernietiging (samenhang 1617/0224)Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0740","Lore","Derde-belanghebbende "
"1617/0740","Lore","Bewoner in de verkaveling "
"1617/0740","Lore","Verdere opsplitsing loten "
"1617/0740","Lore","Inboeten woon- en leefkwaliteit "
"1617/0740","Lore","Onderscheid belang/hoogdringendheid in S-arrest (Navigator)Artikel 159 GW geldt niet voor bestuursorganen "
"1617/0740","Lore","Onbestaande rechtshandeling niet aangevoerd "
"1617/0740","Lore","Raad onderzoekt onwettigheid verkavelingswijziging als determinerende rechtsgrond "
"1617/0740","Lore","Vernietiging verkavelingswijziging in arrest met dossiernr. 1617/0224 "
"1617/0740","Lore","Verval determinerende rechtsgrondMO3: materiële vergissing zonder impact op de beoordeling"
"1617/0224","Lore","VernietigingArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0224","Lore","Derde-belanghebbende "
"1617/0224","Lore","Bewoner in de verkaveling "
"1617/0224","Lore","Verdere opsplitsing loten "
"1617/0224","Lore","Inboeten woon- en leefkwaliteit "
"1617/0224","Lore","Feit gesteund te worden door andere eigenaars maakt geen actio popularis uit (Navigator)Artikel 4.3.1, §1, eerste lid, 1°, b) en §2, eerste lid VCRO "
"1617/0224","Lore","Verkavelingsvergunningswijziging"
"1617/0224","Lore"," Andersluidende adviezen (waaronder PSA-verslag) en eerdere weigeringsbeslissing "
"1617/0224","Lore","Verzwaarde motiveringsplicht "
"1617/0224","Lore","Tegengeld standpunt doet niet blijken van een in concreto toetsing inpasbaarheid, precedentswaarde en erfgoedwaardeArtikel 4.6.7, §2 VCRO "
"1617/0224","Lore","Bezwaren wel degelijk onderzocht "
"1617/0224","Lore","BB niet afdoende gemotiveerd: Terugverwijzing naar MO1 inzake artikel 4.3.1, §1 VCRO en verzwaarde motiveringsplicht"
"1617/0659","Jens","VernietigingArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0659","Jens","Derde-belanghebbende "
"1617/0659","Jens","Impact lichten en zichten op “eigendom” rechtspersoon "
"1617/0659","Jens","In WA verduidelijkt dat het om een minwaarde gaat "
"1617/0659","Jens","geen uitbreiding (Navigator) "
"1617/0659","Jens","Huurder ondergaat wel zintuiglijke hinderArtikel 4.3.1, §1, eerste lid, 1°, a) VCRO "
"1617/0659","Jens","Afwijken van een RUP "
"1617/0659","Jens","Artikel 4.4.1, §1 VCRO "
"1617/0659","Jens","Bouwdiepte "
"1617/0659","Jens","Contextuele interpretatie in het licht van andere bepalingen van hetzelfde RUP "
"1617/0659","Jens","Afwijking van essentiële elementen (Navigator)Artikel 21, §7, zesde lid DBRC-decreet "
"1617/0659","Jens","Geen RPV ten voordele of ten nadele van TSK "
"1617/0659","Jens","RPV ten laste van VWP"
"1516/0362","Ingrid","Afstand van geding "
"1516/0362","Ingrid","Bekrachting bemiddelingsakkoordArtikel 42, §3 DBRC-decreet "
"1516/0362","Ingrid","Verdeling kosten over de partijen"
"1617/0587","Sacha","OngegrondArtikel 4.4.2 bijlage 3/1 middelhoge gebouwen KB brandpreventienormen "
"1617/0587","Sacha","Vanuit GRO kan VWP strengere eisen opleggen (Navigator)Artikelen 4.2.19 en 4.3.1, §1, tweede lid VCRO "
"1617/0587","Sacha","Proportionele voorwaarde "
"1617/0587","Sacha","Onevenredigheid, onredelijkheid, onzorgvuldigheid niet aangetoond"
"1617/0587","Sacha"," Standpunt CBS is geen vertrouwen wekkende handeling in de zin van het vertrouwensbeginsel"
"1718/0156","Annelore","OnontvankelijkArtikel 21 DBRC-decreet"
"1718/0156","Annelore"," Rolrecht TSK niet betaaldZonder voorwerp "
"1718/0156","Annelore","KoppelingsregelingArtikel 33 DBRC-decreet "
"1718/0156","Annelore","Ten laste van TSK/aanvrager"
"1718/0160","Annelore","OnontvankelijkArtikel 21 DBRC-decreet"
"1718/0160","Annelore"," Rolrecht TSK niet betaaldZonder voorwerp "
"1718/0160","Annelore","KoppelingsregelingArtikel 33 DBRC-decreet "
"1718/0160","Annelore","Ten laste van TSK/aanvrager"
"1718/0164","Annelore","OnontvankelijkArtikel 21 DBRC-decreet"
"1718/0164","Annelore"," Rolrecht TSK niet betaaldZonder voorwerp "
"1718/0164","Annelore","KoppelingsregelingArtikel 33 DBRC-decreet "
"1718/0164","Annelore","Ten laste van TSK/aanvrager"
"1415/0428","Patrick","Samenhang met 1415/0422, 1415/0424, 1415/0425, 1415/0421 en 1415/0429OnontvankelijkHoedanigheid CBS met raadsman "
"1415/0428","Patrick","Registratie doet niet af aan beoordeling ontvankelijkheid (navigator) "
"1415/0428","Patrick","Beslissing om in rechte te treden "
"1415/0428","Patrick","Exceptie TSP "
"1415/0428","Patrick","VWP toont niet aan rechtsgeldige beslissing genomen te hebben om in rechte te treden (navigator)"
"1415/0429","Patrick","Samenhang met 1415/0422, 1415/0424, 1415/0425, 1415/0421 en 1415/0428OnontvankelijkHoedanigheid CBS met raadsman "
"1415/0429","Patrick","Registratie doet niet af aan beoordeling ontvankelijkheid (navigator) "
"1415/0429","Patrick","Beslissing om in rechte te treden "
"1415/0429","Patrick","Exceptie TSP "
"1415/0429","Patrick","VWP toont niet aan rechtsgeldige beslissing genomen te hebben om in rechte te treden (navigator)"
"1415/0466","Tariq","Samenhangend met 1415/0484Schorsing verworpenMTHEN vs. hoogdringendheid "
"1415/0466","Tariq","Aantasting leefkwaliteit"
"1415/0484","Tariq","Samenhangend met 1415/0466VernietigingVerzaking "
"1415/0484","Tariq","Vernietiging omwille van duidelijkheid "
"1415/0484","Tariq","Schorsing doelloos Kosten ten laste van tussenkomende partij"
"1415/0502","Arnout","VernietigingVordering LA "
"1415/0502","Arnout","Belang bij het middel –Gemeenschapsvoorzieningen en openbaar nut "
"1415/0502","Arnout","Commerciële fitness "
"1415/0502","Arnout","Louter winstbejag "
"1415/0502","Arnout","Geen handeling van algemeen belang"
"1516/0353","Jona","VernietigingVerkavelingswijziging "
"1516/0353","Jona","Nieuwe toegangsweg "
"1516/0353","Jona","Beslissing gemeenteraad vereist "
"1516/0353","Jona","Motivering post factum"
"1516/0312"," en 1516/0313Ingrid","Samenhangend met 1516/0356 VernietigingOnontvankelijkheidsbeslissing I en vergunningsbeslissing II afzonderlijke BB "
"1516/0312"," en 1516/0313Ingrid","Samenvoeging bevolenBelang omwonende "
"1516/0312"," en 1516/0313Ingrid","Onontvankelijkheidsbeslissing I "
"1516/0312"," en 1516/0313Ingrid","Uitputtingsvereiste II "
"1516/0312"," en 1516/0313Ingrid","Risico op tegenstrijdige beslissingenI "
"1516/0312"," en 1516/0313Ingrid","Tijdigheid administratief beroep "
"1516/0312"," en 1516/0313Ingrid","Aanplakking "
"1516/0312"," en 1516/0313Ingrid","Attest "
"1516/0312"," en 1516/0313Ingrid","Vermelding verkeerde datum "
"1516/0312"," en 1516/0313Ingrid","Misleiding verzoekende partij (navigator) "
"1516/0312"," en 1516/0313Ingrid","Replieknota niet afdoende beantwoordII "
"1516/0312"," en 1516/0313Ingrid","Ambtshalve middel in zaak tegen vergunningsbeslissing II "
"1516/0312"," en 1516/0313Ingrid","Nuttig effect injunctie in zaak I (navigator)"
"1516/0356","Ingrid","Samenhangend met 1516/0312 en 1516/0313Onontvankelijk "
"1516/0356","Ingrid","Gebrek aan voorwerp ingevolge vernietiging in samenhangend dossierKosten ten laste van verwerende partij"
"1617/0342","Tariq","Samenhangend met 1617/0580 en 1617/0344VernietigingOntvankelijkheid tussenkomst "
"1617/0342","Tariq","CBS "
"1617/0342","Tariq","Vergunningverlenend bestuursorgaanProject-MER-screening "
"1617/0342","Tariq","Omzendbrief "
"1617/0342","Tariq","Screeningsplicht "
"1617/0342","Tariq","Geen afzonderlijke screeningsparagraaf vereist "
"1617/0342","Tariq","Beoordeling bezwaren "
"1617/0342","Tariq","Milieueffecten niet afdoende beoordeeld "
"1617/0342","Tariq","Begrip stadsontwikkelingsproject"
"1617/0344","Tariq","Samenhangend met 1617/0580 en 1617/0342VernietigingOntvankelijkheid tussenkomst "
"1617/0344","Tariq","CBS "
"1617/0344","Tariq","Vergunningverlenend bestuursorgaanBelang "
"1617/0344","Tariq","Inmiddels alternatieve vergunning "
"1617/0344","Tariq","Geen uitdrukkelijke verzaking "
"1617/0344","Tariq","Behoud actueel belangProject-MER-screening "
"1617/0344","Tariq","Omzendbrief "
"1617/0344","Tariq","Screeningsplicht "
"1617/0344","Tariq","Geen afzonderlijke screeningsparagraaf vereist "
"1617/0344","Tariq","Begrip stadsontwikkelingsproject "
"1617/0344","Tariq","Milieueffecten niet afdoende beoordeeld"
"1617/0580","Tariq","Samenhangend met 1617/0342 en 1617/0344VernietigingProject-MER-screening "
"1617/0580","Tariq","Omzendbrief "
"1617/0580","Tariq","Screeningsplicht ––Milieueffecten niet afdoende beoordeeld "
"1617/0580","Tariq","Reductie aantal appartementen stadsontwikkelingsproject "
"1617/0580","Tariq","Basisvergunning vernietigd"
"1718/0033","Sacha","VernietigingVerzaking "
"1718/0033","Sacha","Vernietiging omwille van duidelijkheidKosten ten laste van tussenkomende partijGeen RPV (navigator)"
"1516/0696","Laura","Samenhangend met 1516/0700 en 1617/0650TussenarrestVerlenging bemiddelingstermijn "
"1516/0696","Laura","Opdracht bemiddelaar"
"1516/0700","Laura","Samenhangend met 1516/0696 en 1617/0650TussenarrestVerlenging bemiddelingstermijn "
"1516/0700","Laura","Opdracht bemiddelaar"
"1617/0259","en 1617/0276Sacha","VernietigingSamenvoeging WT "
"1617/0259","en 1617/0276Sacha","Nabijgelegen vennootschap "
"1617/0259","en 1617/0276Sacha","Belang aanvaard "
"1617/0259","en 1617/0276Sacha","Hinder voor werknemers Belang bij het middel "
"1617/0259","en 1617/0276Sacha","Principiële ondeelbaarheid vergunning "
"1617/0259","en 1617/0276Sacha","Strijdigheid met planologische voorschriften "
"1617/0259","en 1617/0276Sacha","Ligging buiten RUP "
"1617/0259","en 1617/0276Sacha","Agrarisch gebied "
"1617/0259","en 1617/0276Sacha","Geen afwijking toegestaanBeoordeling goede RO "
"1617/0259","en 1617/0276Sacha","Voorschriften laten appreciatiemarge "
"1617/0259","en 1617/0276Sacha","MV vs. SV "
"1617/0259","en 1617/0276Sacha","Screening vs. goede RO "
"1617/0259","en 1617/0276Sacha","Slagschaduw en geluidshinder "
"1617/0259","en 1617/0276Sacha","Voorwaarde opgelegd in MV "
"1617/0259","en 1617/0276Sacha","Niet foutief/onredelijk "
"1617/0259","en 1617/0276Sacha"," Cultuur-historische impact "
"1617/0259","en 1617/0276Sacha","Gezag van gewijsde "
"1617/0259","en 1617/0276Sacha","Visuele impact "
"1617/0259","en 1617/0276Sacha","Geen afdoende motivering "
"1617/0259","en 1617/0276Sacha","Advies niet actueel Actualiteit aanvraag "
"1617/0259","en 1617/0276Sacha","Regularisatievergunning en samenstelling aanvraagdossier "
"1617/0259","en 1617/0276Sacha","Niet laten leiden door voldongen feiten (navigator)Watertoets "
"1617/0259","en 1617/0276Sacha","Actualiteit wateradvies "
"1617/0259","en 1617/0276Sacha","Wijziging overstromingskaart "
"1617/0259","en 1617/0276Sacha","Nieuw advies vereist (navigator)M.e.r.-screening "
"1617/0259","en 1617/0276Sacha","Herstelbeslissing "
"1617/0259","en 1617/0276Sacha","Actualiteitstoets vereist (navigator)Injunctie "
"1617/0259","en 1617/0276Sacha","Nieuwe adviezen vereist "
"1617/0259","en 1617/0276Sacha","Hersteltermijn 6 maanden"
"1617/0303","Lieselotte","Samenhangend met 1617/0306OngegrondZendmast "
"1617/0303","Lieselotte","Omwonenden "
"1617/0303","Lieselotte","Belang <U+2260> MTHEN "
"1617/0303","Lieselotte","Waardevermindering rechtspersoonDraagwijdte tussenkomst "
"1617/0303","Lieselotte","Goede RO "
"1617/0303","Lieselotte","Visuele impact zendmast "
"1617/0303","Lieselotte","Afdoende onderzocht "
"1617/0303","Lieselotte","Geen schending gezag van gewijsde "
"1617/0303","Lieselotte","Gezondheidsaspect "
"1617/0303","Lieselotte","Verwijzing naar conformiteitsattest "
"1617/0303","Lieselotte","Wettigheid Vlarem "
"1617/0303","Lieselotte","Bevoegdheid gewest "
"1617/0303","Lieselotte","Adviesplicht (navigator) "
"1617/0303","Lieselotte","Gebrek aan vervalregeling "
"1617/0303","Lieselotte","Geen schending gelijkheidsbeginsel "
"1617/0303","Lieselotte","Actualiteit conformiteitsattest (navigator) "
"1617/0303","Lieselotte","D’Oultrement "
"1617/0303","Lieselotte","Plan-MER-plicht Vlarem "
"1617/0303","Lieselotte","Middelenonderdeel in WA "
"1617/0303","Lieselotte","Laattijdig (navigator) Site-sharing "
"1617/0303","Lieselotte","Inspanningsverbintenis operator "
"1617/0303","Lieselotte","Geen alternatievenonderzoek vereist "
"1617/0303","Lieselotte","Kennisgeving operatoren Exceptie in laatste SU verworpen "
"1617/0303","Lieselotte","Cultuur-historische aspecten "
"1617/0303","Lieselotte","Naburig monument "
"1617/0303","Lieselotte","Afdoende onderzocht "
"1617/0303","Lieselotte","Adviesplicht agentschap OE "
"1617/0303","Lieselotte","Verdrag van Granada "
"1617/0303","Lieselotte","Omgezet naar intern recht (navigator)Voorwaarden "
"1617/0303","Lieselotte","Groenscherm weergegeven op de plannen "
"1617/0303","Lieselotte","Afdoende duidelijk "
"1617/0303","Lieselotte","Onuitvoerbaarheid niet aangetoond"
"1617/0306","Lieselotte","Samenhangend met 1617/0306OngegrondOnderzoek tijdigheid "
"1617/0306","Lieselotte","Betekening bestreden beslissingBeoordeling goede RO "
"1617/0306","Lieselotte","Visuele impact zendmast "
"1617/0306","Lieselotte","Afdoende onderzocht "
"1617/0306","Lieselotte","Geen schending gezag van gewijsde "
"1617/0306","Lieselotte","Groenscherm (navigator) "
"1617/0306","Lieselotte","Gezondheidsaspect "
"1617/0306","Lieselotte","Verwijzing naar conformiteitsattest "
"1617/0306","Lieselotte","Artikel 23 Gw. (navigator)"
"1617/0457","Laura","Afstand"
"1617/0650","Laura","Samenhangend met 1516/0696 en 1516/0700TussenarrestVerlenging bemiddelingstermijn "
"1617/0650","Laura","Opdracht bemiddelaar "
"1617/0650","Laura","Vermelding bemiddelingsvergoeding"
"1718/0569","Claire","Samenhangend met 1718/0569/UDNSchorsing verworpenGeen ernstig middel "
"1718/0569","Claire","Verbouwing woning "
"1718/0569","Claire","Beoordeling goede RO "
"1718/0569","Claire","Herneming bezwaren "
"1718/0569","Claire","Niet foutief/onredelijk geoordeeld"
"1617/0535","Thibault","Ongegrond Regelmatigheid van RP "
"1617/0535","Thibault","Tijdigheid laatste SUBelang eigenaar naburig perceel (navigator)Geen belang bij het middel "
"1617/0535","Thibault","Andere stedenbouwkundige vergunningen verleend "
"1617/0535","Thibault","Statuut wegenis kan niet meer in vraag worden gesteld Planaanpassingen en buffer "
"1617/0535","Thibault","Geen belang bij het middel "
"1617/0535","Thibault","Private wegenis definitiefBeoordeling goede RO "
"1617/0535","Thibault","Andersluidend PSA-verslag "
"1617/0535","Thibault"," Herstelbeslissing "
"1617/0535","Thibault","Verstrengde motivering "
"1617/0535","Thibault","Tweede bouwlijn "
"1617/0535","Thibault","Hypothekering binnengebied niet aangetoond "
"1617/0535","Thibault","Goede RO afdoende beoordeeld  RPV verworpen"
"1617/0574","Jens","Samenhangend met 1617/0576OngegrondBelang gemeente "
"1617/0574","Jens","WT-project in naburige gemeente "
"1617/0574","Jens","Omwonenden "
"1617/0574","Jens","Belang aanvaard (navigator)Beoordeling goede RO "
"1617/0574","Jens","WT "
"1617/0574","Jens","Exceptie in LN onontvankelijk "
"1617/0574","Jens","Hinder WT "
"1617/0574","Jens","Omzendbrief 2014 "
"1617/0574","Jens","Conform Vlarem mits milderende maatregelen "
"1617/0574","Jens","Bezwaren afdoende beantwoord "
"1617/0574","Jens","Plan-MER plicht Vlarem (navigator) "
"1617/0574","Jens","D’Oultrement "
"1617/0574","Jens","Geen buiten toepassing gevraagd "
"1617/0574","Jens","Middel te vaagOnduidelijkheid over type WT "
"1617/0574","Jens","Herstelbeslissing "
"1617/0574","Jens","Slagschaduw en geluidshinder "
"1617/0574","Jens","Worst case scenario (navigator) "
"1617/0574","Jens","Voorwaarden opgelegdVoorwaarden "
"1617/0574","Jens","Onduidelijkheid over type WT maar maximale afmetingen "
"1617/0574","Jens","Exploitatie conform Vlarem "
"1617/0574","Jens","Geen ongeoorloofde beoordelingsvrijheid voor aanvrager "
"1617/0574","Jens","Handhaving "
"1617/0574","Jens","Voorwaarden omtrent watertoets en toegang landbouwgronden "
"1617/0574","Jens","Geen belang bij het middel (navigator)"
"1617/0576","Jens","Samenhangend met 1617/0574OnontvankelijkGebrek aan ontvankelijk middel "
"1617/0576","Jens","Herneming vorig verzoekschrift "
"1617/0576","Jens","Stukken niet betekend aan andere partijen"
"1617/0576","Jens"," Niet remedieerbaar in WARPV verworpen"
"1617/0623","Claire","Vernietiging korte debattenStilzwijgende weigeringsbeslissing "
"1617/0623","Claire","Artikel 37 DBRC-decreet niet van toepassing "
"1617/0623","Claire","Motiveringsgebrek"
"1617/0713","Arnout","Vernietiging korte debattenStilzwijgende weigering "
"1617/0713","Arnout","Motiveringsgebrek (navigator)RPV beperkt tot basisbedrag"
"1617/0745","Jens","Afstand RPV beperkt tot basisbedrag (navigator)"
"1617/0787","Jens","Afstand RPV beperkt tot basisbedrag"
"1617/0794","Heidi","Vernietiging korte debattenStilzwijgende weigering "
"1617/0794","Heidi","Motiveringsgebrek (navigator)"
"1617/0798","Jens","Vernietiging korte debattenStilzwijgende beslissing "
"1617/0798","Jens","Motiveringsgebrek (navigator)RPV 700 euro (navigator)"
"1617/0838","Jens","Afstand RPV beperkt tot basisbedrag"
"1617/0861","Tariq","Vernietiging korte debattenStilzwijgende beslissing "
"1617/0861","Tariq","Motiveringsgebrek (navigator)Esthetische toets in LWAG "
"1617/0861","Tariq","Vraag tot injunctie verworpen "
"1617/0861","Tariq","Codextrein  RPV 700 euro (navigator)"
"1718/0029","Arnout","Vernietiging korte debattenStilzwijgende weigering "
"1718/0029","Arnout","Motiveringsgebrek RPV beperkt tot basisbedrag"
"1718/0054","Arnout","Vernietiging korte debattenStilzwijgende weigering "
"1718/0054","Arnout","Motiveringsgebrek RPV beperkt tot basisbedrag"
"1516/0484","Annelore","Samenhangend met 1516/0529OngegrondDiscussie zonegrens gewestplan "
"1516/0484","Annelore","Herstelbeslissing "
"1516/0484","Annelore","Gezag van gewijsde "
"1516/0484","Annelore","Bevoegdheid RvVb "
"1516/0484","Annelore","Feitelijke discussie (navigator) "
"1516/0484","Annelore","Onjuistheid niet aangetoond "
"1516/0484","Annelore","Onontvankelijk middelenonderdeel in WA"
"1516/0529","Annelore","Samenhangend met 1516/0484OnontvankelijkOntvankelijkheid middel "
"1516/0529","Annelore","Onontvankelijk middelenonderdeel in WA "
"1516/0529","Annelore","Strijdigheid met gewestplanbestemming vs. onwettigheid stedenbouwkundige voorschriften "
"1516/0529","Annelore","Structuurplan "
"1516/0529","Annelore","Opportuniteitskritiek"
"1617/0543","Laura","OnontvankelijkOntvankelijkheid middel "
"1617/0543","Laura","Bevoegdheid RvVb "
"1617/0543","Laura","Opportuniteitskritiek"
"1 Eddy","","/"
"2 Hilde","","/"
"3 Filip","","/"
"1617/0333","Katrien W.","Samenhang met 1617/0281; 1617/0323 en 1617/0326Vernietiging Artikel 4.8.11, §1, 7° VCRO "
"1617/0333","Katrien W.","Ontvankelijkheid "
"1617/0333","Katrien W.","Belang "
"1617/0333","Katrien W.","CBS als adviesverlenende instantie in de bijzondere procedure "
"1617/0333","Katrien W.","Artikel 4.7.26, §4, eerste lid, 2° VCRO"
"1617/0333","Katrien W."," Overschrijding ordetermijn van 30 dagen "
"1617/0333","Katrien W.","Redelijke termijn "
"1617/0333","Katrien W.","1 maand na het verstrijken van de termijn"
"1617/0333","Katrien W."," Verlengd openbaar onderzoek en zorgvuldig (negatief) advies "
"1617/0333","Katrien W.","Belang aanvaard [Navigator]Artikel 4.8.11, §1, 3° VCRO "
"1617/0333","Katrien W.","Ontvankelijkheid "
"1617/0333","Katrien W.","Belang "
"1617/0333","Katrien W.","Gemeente "
"1617/0333","Katrien W.","Doorkruising gemeentelijk veiligheids- en stedenbouwkundig beleid.artikel 4.7.26, §4, 3° en 4° VCRO –Beslissingstermijn "
"1617/0333","Katrien W.","Geen loutere materiële vergissing "
"1617/0333","Katrien W.","Intrekking –Nieuwe beslissing na verstrijken vervaltermijn "
"1617/0333","Katrien W.","Nieuwe vergunning aangetast door machtsoverschrijding  [Navigator]"
"1617/0281"," Katrien W.","Samenhang met 1617/0323; 1617/0326 en 1617/0333Verwerping vernietiging "
"1617/0281"," Katrien W.","OnontvankelijkOntvankelijkheid "
"1617/0281"," Katrien W.","Vordering zonder voorwerp ingevolge intrekking bestreden beslissing"
"1617/0281"," Katrien W.","Geen verbetering loutere materiële vergissing. Art. 33 DBRC-Decreet"
"1617/0281"," Katrien W."," Kosten ten laste van de verwerende partij ingevolge intrekking"
"1617/0323","Katrien W.","Samenhang met 1617/0281; 1617/0326 en 1617/0333Verwerping vernietiging "
"1617/0323","Katrien W.","OnontvankelijkOntvankelijkheid "
"1617/0323","Katrien W.","Vordering zonder voorwerp ingevolge vernietiging in 1617/0333 en vaststelling dat het beroep zonder voorwerp is in 1617/0281 "
"1617/0323","Katrien W.","Zonder voorwerpArt. 33 DBRC-Decreet "
"1617/0323","Katrien W.","Kosten ten laste van VWP ingevolge intrekking."
"1617/0326","Katrien W.","Samenhang met 1617/0281; 1617/0323 en 1617/0333Verwerping vernietiging "
"1617/0326","Katrien W.","OnontvankelijkOntvankelijkheid "
"1617/0326","Katrien W.","Vordering zonder voorwerp ingevolge vernietiging in 1617/0333 Art. 33 DBRC-Decreet "
"1617/0326","Katrien W.","Kosten ten laste van VWP ingevolge intrekking."
"1617/0415","Tine","Vernietiging Herstelbeslissing"
"1617/0415","Tine"," Artikel 4.3.1. VCRO "
"1617/0415","Tine","Beoordeling goede RO "
"1617/0415","Tine","artikel 4.7.23 VCRO "
"1617/0415","Tine","Andersluidend PSA-verslag "
"1617/0415","Tine","Verstrengde motivering "
"1617/0415","Tine","Wachtgevel "
"1617/0415","Tine","Mobiliteitsproblematiek- Wooncomfort "
"1617/0415","Tine","Gabarit en kroonlijsthoogte"
"1617/0415","Tine"," Stijlclausules"
"1617/0415","Tine"," Niet afdoende motivering "
"1617/0415","Tine","Geen beoordeling in concreto "
"1617/0415","Tine"," Lichthinder "
"1617/0415","Tine","Beperkte impact "
"1617/0415","Tine","Motivering is niet kennelijk onredelijk "
"1617/0415","Tine","Stelplicht VZPKosten –Inwerkingtreding decreetswijziging"
"1617/0415","Tine"," Afwijzing verzoek RPV [Navigator]"
"1516/0334","Lore","Verwerping vernietiging "
"1516/0334","Lore","Ongegrond Bouwen van een handelszaak na afbraak bestaande woning M1, M2, M3, M4"
"1516/0334","Lore","Artikel 159 Gw."
"1516/0334","Lore"," Onwettigheid PRUP"
"1516/0334","Lore","  Verwerpingsarrest RvS "
"1516/0334","Lore","Geen reden om anders te oordelen."
"1617/0565","Laura","(Essers deel I Genk)"
"1617/0565","Laura"," Samenhang met 1617/0566 Vernietiging Artikel 4.8.11,§1, eerste lid, 4° VCRO"
"1617/0565","Laura"," Ontvankelijkheid "
"1617/0565","Laura","Belang van de VZPen"
"1617/0565","Laura"," Procesbekwame verenigingen"
"1617/0565","Laura"," Duurzame en effectieve werking overeenkomstig de statuten "
"1617/0565","Laura"," Geen actio popularisArtikel 4.8.11, §1, eerste lid 3° VCRO Ontvankelijkheid "
"1617/0565","Laura","Belang "
"1617/0565","Laura","Derde-belanghebbenden- toename van luchtverontreiniging, geurhinder, stofhinder en geluidshinder. Art. 13.4.3 Inrichtingsbesluit "
"1617/0565","Laura","Deels bestemming natuurgebied (en deel bestemming industriegebied) "
"1617/0565","Laura","GRUP uitbreiding transportbedrijf Essers "
"1617/0565","Laura","SBV gesteund op GRUP"
"1617/0565","Laura"," Vernietigingsarrest RvS "
"1617/0565","Laura","Gebrek aan/Verval van rechtsgrond (OO) [Navigator]Artikel 33 DBRC-Decreet "
"1617/0565","Laura","Kosten "
"1617/0565","Laura","Geen RPV "
"1617/0565","Laura","Nog niet in werking getreden bepaling"
"1617/0566","Laura","(Essers deel II Zonhoven) "
"1617/0566","Laura","Samenhang met 1617/00565Vernietiging Idem voorgaande"
"1617/0488","Tine","Vernietiging "
"1617/0488","Tine","Herstelbeslissing Sloop bestaande stallen en uitbreiding vergistingsinstallatie met herbouw bestaande loods, verbouw bestaande loods, nieuwe lagune …Artikel 11.4.1. Inrichtingsbesluit "
"1617/0488","Tine","Agrarisch gebied "
"1617/0488","Tine","Mestverweking "
"1617/0488","Tine","Omzendbrief RO/2006/01 als richtkader "
"1617/0488","Tine","Al dan niet bedrijfsgebonden activiteit "
"1617/0488","Tine","Weinig eigen input "
"1617/0488","Tine","Geen zorgvuldig beoordeling van verenigbaarheid met de planologische bestemming. [Navigator]"
